country,population,date,active_cases,cases_per_million,total_cases,deaths_per_million,total_deaths,tests_per_million,total_tests,CFR
DRC,95240792,2026-02-16,13381,1043,99338,15,1468,8890,846704,1.4777829229499284
Malawi,20180839,2026-02-16,0,4437,89535,133,2686,30959,624784,2.9999441559166806
Senegal,17653671,2026-02-16,58,5044,89053,112,1971,64946,1146543,2.213288715708623
Ivory-Coast,27742298,2026-02-16,52,3186,88384,30,835,60951,1690934,0.9447411296162201
New-Caledonia,290915,2026-02-16,0,275214,80064,1079,314,340182,98964,0.3921862509992006
Eswatini,1184817,2026-02-16,648,63462,75191,1204,1427,885119,1048704,1.8978335173092526
Guyana,794045,2026-02-16,824,93366,74137,1637,1300,923396,733218,1.7535103929212135
Belize,412190,2026-02-16,0,173243,71409,1669,688,1397453,576016,0.9634639891330226
Madagascar,29178077,2026-02-16,198,2347,68486,49,1426,18210,531329,2.082177379318401
Cabo-Verde,567678,2026-02-16,305,113580,64477,735,417,707482,401622,0.6467422491741242
Sudan,45992020,2026-02-16,0,1391,63993,110,5046,12240,562941,7.885237447845858
Mauritania,4901981,2026-02-16,380,13025,63848,203,997,206030,1009957,1.561521112642526
Bhutan,787941,2026-02-16,1112,79571,62697,27,21,2923739,2303734,0.03349442557060146
Syria,19364809,2026-02-16,0,2982,57743,163,3165,7553,146269,5.481183866442685
Burundi,12624840,2026-02-16,1114,4334,54721,3,38,27386,345742,0.06944317538056688
Gabon,2331533,2026-02-16,70,21038,49051,132,307,695641,1621909,0.6258791869686653
Andorra,77463,2026-02-16,0,619844,48015,2130,165,3225256,249838,0.3436426116838488
Papua-New-Guinea,9292169,2026-02-16,26,5043,46864,72,670,26813,249149,1.4296688289518606
Mauritius,1274727,2026-02-16,696,33752,43025,824,1051,281374,358675,2.442765833817548
Togo,8680837,2026-02-16,1,4559,39572,33,290,93908,815204,0.7328414030122309
Guinea,13865691,2026-02-16,347,2782,38572,34,468,47607,660107,1.2133153582909884
Egypt,106156692,2026-02-16,49228,4861,516023,232,24613,34792,3693367,4.769748635235251
Uzbekistan,34382084,2026-02-16,10539,7378,253662,48,1637,40077,1377915,0.6453469577626921
Kyrgyzstan,6728271,2026-02-16,7500,30750,206897,445,2991,283460,1907195,1.44564686776512
Qatar,2979915,2026-02-16,147,172664,514524,232,690,1364257,4065369,0.1341045315670406
Libya,7040745,2026-02-16,2,72048,507274,914,6437,352782,2483848,1.268939468610652
Ethiopia,120812698,2026-02-16,5412,4148,501157,63,7574,46066,5565340,1.5113028452161696
R&eacute;union,908061,2026-02-16,0,544672,494595,1014,921,1766027,1603660,0.18621296212052285
Honduras,10221247,2026-02-16,0,46432,474590,1092,11165,162472,1660662,2.3525569438884086
Armenia,2971966,2026-02-16,7892,152031,451831,2953,8777,1091164,3242901,1.9425404631377663
Bosnia-and-Herzegovina,3249317,2026-02-16,8143,124215,403615,5044,16388,580036,1884721,4.060304993620158
Oman,5323993,2026-02-16,0,75028,399449,869,4628,4695724,25000000,1.1585959659430867
Luxembourg,642371,2026-02-16,0,609044,391232,1918,1232,7140959,4587145,0.31490266644855225
North-Macedonia,2081304,2026-02-16,3523,168436,350567,4793,9976,1069626,2226216,2.84567571961993
Zambia,19470234,2026-02-16,3919,17940,349304,209,4069,211244,4112961,1.1648878913496552
Kenya,56215221,2026-02-16,1132,6122,344130,101,5689,70569,3967062,1.6531543312120418
Brunei,445431,2026-02-16,99893,771655,343719,505,225,1611437,717784,0.06546044879683695
Albania,2866374,2026-02-16,1025,116825,334863,1258,3605,677173,1941032,1.0765596676849936
Botswana,2441162,2026-02-16,788,135443,330638,1147,2801,830300,2026898,0.8471500553475403
Montenegro,627950,2026-02-16,1902,472238,296542,4532,2846,4410034,2769281,0.9597291446068348
Algeria,45350148,2026-02-16,82068,5998,272010,152,6881,5093,230960,2.5296864085879194
Nigeria,216746934,2026-02-16,4080,1233,267188,15,3155,26339,5708974,1.1808165037351976
Zimbabwe,15331428,2026-02-16,1731,17373,266359,374,5740,164744,2525756,2.1549863154614637
Afghanistan,40754388,2026-02-16,15098,5746,234174,196,7996,34125,1390730,3.414554989025255
Mozambique,33089461,2026-02-16,2676,7064,233731,68,2250,41437,1371127,0.9626450920074787
Martinique,374087,2026-02-16,0,615777,230354,2946,1102,2215870,828928,0.4783941238268057
Laos,7481023,2026-02-16,0,29270,218970,101,758,164845,1233207,0.3461661414805681
